Character;Body;Tire;Glider;Lap1;Lap2;Lap3;Total;Average;Min;Max
Baby mario;Biddybuggy;Roller;Cloud Glider;50,195;46,449;45,81;142,454;47,48466667;45,81;50,195
Baby mario;Biddybuggy;Roller;Super Glider;48,019;46,09;45,153;139,262;46,42066667;45,153;48,019
Baby mario;Biddybuggy;Metal;Cloud Glider;48,889;46,531;47,4;142,82;47,60666667;46,531;48,889
Baby mario;Biddybuggy;Metal;Super Glider;48,014;46,339;47,128;141,481;47,16033333;46,339;48,014
Baby mario;Badwagon;Roller;Cloud Glider;49,585;46,938;46,6;143,123;47,70766667;46,6;49,585
Baby mario;Badwagon;Roller;Super Glider;48,43;46,036;46,259;140,725;46,90833333;46,036;48,43
Baby mario;Badwagon;Metal;Cloud Glider;48,568;46,892;47,829;143,289;47,763;46,892;48,568
Baby mario;Badwagon;Metal;Super Glider;48,858;47,843;46,752;143,453;47,81766667;46,752;48,858
Wario;Biddybuggy;Roller;Cloud Glider;47,168;45,85;46,172;139,19;46,39666667;45,85;47,168
Wario;Biddybuggy;Roller;Super Glider;46,826;44,485;45,311;136,622;45,54066667;44,485;46,826
Wario;Biddybuggy;Metal;Cloud Glider;47,714;47,041;47,131;141,886;47,29533333;47,041;47,714
Wario;Biddybuggy;Metal;Super Glider;48,617;46,222;45,827;140,666;46,88866667;45,827;48,617
Wario;Badwagon;Roller;Cloud Glider;51,893;45,838;50,193;147,924;49,308;45,838;51,893
Wario;Badwagon;Roller;Super Glider;48,783;46,696;47,797;143,276;47,75866667;46,696;48,783
Wario;Badwagon;Metal;Cloud Glider;50,352;52,26;47,143;149,755;49,91833333;47,143;52,26
Wario;Badwagon;Metal;Super Glider;52,07;51,197;47,221;150,488;50,16266667;47,221;52,07
